match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,C,9,2,0,5,9,9
0,B,8,0,1,15,15,
0,A,10,0,1,1,1,
0,C,13,2,1,9,13,
0,B,8,3,3,2,2,Draw
0,A,10,5,0,4,10,
0,C,13,3,0,5,13,
0,B,15,1,5,2,2,
0,A,4,2,3,1,1,
1,,15,1,4,13,13,
1,,10,3,0,9,10,
2,,1,0,2,13,13,
2,,10,3,2,2,10,extra-time
3,,1,0,6,2,2,
4,,10,1,2,13,13,
