match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,A,13,2,1,2,13,8
0,B,4,0,3,1,1,
0,A,8,1,2,9,9,
0,B,10,3,0,7,10,
0,A,8,3,0,7,8,
0,B,1,1,2,13,13,
0,A,2,3,0,4,2,
0,B,9,2,1,10,9,
0,A,4,0,3,13,13,
0,B,1,3,0,2,1,
0,A,9,3,0,7,9,
0,B,8,2,1,10,8,
2,,13,2,1,8,13,
2,,1,2,1,9,1,
3,,9,2,1,8,9,
4,,1,0,2,13,13,
