match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,D,1,3,0,7,1,13
0,B,13,3,0,9,13,
0,C,2,3,0,4,2,
0,D,15,3,1,10,15,
0,A,8,3,0,11,8,
0,D,1,3,0,15,1,
0,C,2,3,0,3,2,
0,B,13,3,0,14,13,
0,D,10,3,0,7,10,
0,A,8,3,0,5,8,
0,D,1,3,0,10,1,
0,B,9,3,0,14,9,
0,A,11,0,3,5,5,
0,C,4,0,3,3,3,
0,D,7,0,3,15,15,
1,,8,3,1,3,8,
1,,10,0,3,13,13,
1,,1,3,0,9,1,
1,,2,3,1,5,2,
2,,13,1,3,2,2,
2,,1,3,2,8,1,
3,,13,1,3,8,8,
4,,1,3,1,2,1,
