match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,A,15,0,2,1,1,14
0,B,4,0,2,9,9,
0,C,12,0,2,8,8,
0,D,0,0,2,14,14,
0,C,5,0,2,10,10,
0,D,2,2,0,6,2,
0,B,7,0,2,9,9,
0,C,12,0,2,10,10,
0,C,5,0,2,8,8,
0,D,2,2,0,0,2,
0,A,13,2,0,1,13,
0,D,14,0,2,6,6,
0,B,4,2,0,7,4,
0,D,2,2,0,14,2,
0,A,13,2,0,15,13,
0,C,5,0,2,12,12,
0,C,10,2,0,8,10,
0,D,6,2,0,0,6,
1,,9,2,0,6,9,
1,,4,2,0,2,4,
1,,13,2,0,10,13,
1,,8,2,1,1,8,
2,,9,0,2,8,8,
2,,4,0,2,13,13,
3,,4,0,2,9,9,
4,,13,0,2,8,8,
